productId,brandId,productName,price,originalPrice,priceDiscount,activityDiscount,discount,activityStock,stock,sellNum,timeLabel,activityId,activityProductId,categoryId,thirdCategoryId
p15949227,10131,GIVENCHY紀梵希明星四宮格柔霧散粉1號色兩件套裝,1020,,,,,0,18,1,,,,3021,2214
p15809337,31887,CLINIQUE倩碧炫彩唇膏06 1.9g,170,,,,,0,7,9,,,,3016,2195
p15877864,31845,YSL聖羅蘭新明彩柔霧輕墊粉底液 #20(替換芯*2),785,,,,,0,12,75,,,,3021,2201
p15878324,31845,YSL聖羅蘭新明彩柔霧輕墊粉底液 #30(替換芯),425,,,,,0,9,27,,,,3021,2201
p15825598,10174,MAC魅可眼影盤6.25g,310,,,,,0,6,32,,,,3038,2217
p15946064,100328,JUDYDOLL橘朵雙頭撕拉唇線豐潤唇油 03 2.4g+2g,89,,,,,0,6,,,,,3016,2197
p15895884,31845,YSL聖羅蘭先鋒高定腮紅42,480,,,,,0,4,18,,,,3021,2213
p15742530,10174,MAC魅可時尚焦點小眼影 27,110,,,,,0,5,28,,,,3038,2217
p15736949,12469,TOM FORD 幻魅奢黑眼線筆1.36ML/.4OZ  DEEPER,460,,,,,0,3,33,,,,3038,2203
p15740023,31887,CLINIQUE倩碧小雛菊腮紅02 3.5g,160,,,,,0,5,16,,,,3021,2213
p15913040,13558,SHU UEMURA植村秀專業睫毛夾,245,,,,,0,4,11,,,,3012,2280
p15824436,10123,ESTEE LAUDER雅詩蘭黛沁水養膚粉底液兩支裝,935,,,,,0,12,64,,,,3021,2201
p15885150,12469,TOM FORD幻魅亮澤唇膏100 大秀裸棕,370,,,,,0,4,15,,,,3016,2195
p15865180,10174,MAC魅可經典啞光唇膏 3.5G,190,,,,,0,10,43,,,,3016,2195
p15896331,12290,Giorgio Armani阿瑪尼紅管唇釉-321,380,,,,,0,4,10,,,,3016,2197
p15737155,12469,TOM FORD湯姆福特幻魅塑型眉筆,555,,,,,0,4,26,,,,3038,2207
p15868120,31845,YSL聖羅蘭敢愛自由眼線筆,285,,,,,0,4,28,,,,3038,3623
p15841686,10131,GIVENCHY紀梵希高定甜潤唇膏N37 2.8g,330,,,,,0,4,9,,,,3016,2195
p15739560,10123,ESTEE LAUDER  雅詩蘭黛 Double Wear 凝彩纖長睫毛膏 6ml 黑色,350,,,,,0,4,17,,,,3038,2203
p15833292,10131,GIVENCHY紀梵希明星四宮格腮紅 1.12g*4,440,,,,,0,4,29,,,,3021,2213
p15894077,31845,YSL聖羅蘭瑩亮純魅唇膏 122 3.2g,380,,,,,0,3,15,,,,3016,2195
p15870448,13863,SULWHASOO雪花秀氣墊粉底輕薄 15G*2,580,,,,,0,9,18,,,,3021,2214
p15901182,10162,Lancome蘭蔻菁純柔霧啞光唇釉-305,360,,,,,0,4,4,,,,3016,2197
p15941390,13105,FRESH馥蕾詩澄糖護唇油（玫瑰粉紅色）4ml,200,,,,,0,3,6,,,,3016,2197
p15792848,10085,BOBBI BROWN芭比波朗流雲眼影筆  1.6g,300,,,,,0,4,4,,,,3038,2217
p15868118,10162,LANCOME蘭蔻新空氣輕墊菁純粉底液,750,,,,,0,4,13,,,,3021,2201
p15946067,100328,JUDYDOLL橘朵腮紅高光碟 02 9g,69,,,,,0,3,6,,,,3021,2219
p15864124,12469,TOM FORD湯姆福特奢金柔光妝前乳,650,,,,,0,3,7,,,,3021,2222
p15885151,12469,TOM FORD幻魅亮澤唇膏154 乍見,370,,,,,0,3,8,,,,3016,2195
p15830418,10123,ESTEE LAUDER雅詩蘭黛三合一多功能造型眉筆2ml,305,,,,,0,5,3,,,,3038,2207
p15895891,13558,shu uemura植村秀大師立體眼影盤-茶棕盤,495,,,,,0,3,,,,,3038,2217
p15827503,13558,shu uemura植村秀無色限絹感柔霧唇膏3.3g,315,,,,,0,9,19,,,,3016,2195
p15902879,31845,聖羅蘭YSL革新［小金條］口紅 #1977,390,,,,,0,2,6,,,,3016,2195
p15825233,10123,ESTEE LAUDER雅詩蘭黛炫黑雙頭眼線液筆01-0-9G,340,,,,,0,3,12,,,,3038,2203
p15915329,15632,Laneige蘭芝晶凍炫色精華唇蜜-糖糖釉光味,140,,,,,0,3,,,,,3016,2197
p15914966,15632,Laneige蘭芝晶凍炫色精華唇蜜-莓莓果醬味,140,,,,,0,2,2,,,,3016,2197
p15739674,31887,CLINIQUE倩碧小雛菊腮紅01 3.5g CLINIQUE CHEEK POP GINGER POP 3.5g,160,,,,,0,2,33,,,,3021,2213
p15887526,12469,Tom Ford汤姆福特新烈焰幻魅唇膏-11  STUNNER 3.5g,490,,,,,0,3,1,,,,3016,2195
p15846937,31887,CLINIQUE倩碧小雛菊持妝口紅 3.9G,185,,,,,0,12,24,,,,3016,2195
p15870457,15632,LANEIGE蘭芝新顏煥白氣墊霜 15G*2霧面啞光,350,,,,,0,2,16,,,,3021,2201
p15737422,10174,MAC魅可妝前乳 30ml,380,,,,,0,2,11,,,,3021,2222
