goodsID,goodsCode,leFoxID,chineseBrandName,englishBrandName,goodsName,goodsSubName,backstageCategory,price,originalPrice,costPrice,buyPrice,lowestPrice,lowestPriceText,stock,onSale,purchaseTypeId,purchaseModeType,timestamp,source,actualPrice,msrp
694cc2f9f52aff0001124f0d,20113497,4874587,祖·玛珑,JO MALONE LONDON,蓝风铃润肤喷雾,100ml,个护家清-身体护理-润肤乳,398,266.0,266.0,398,,,9999,True,0,,,bodylotion,266.0,398.0
694cc2ab5b103b0001aea2ce,20111794,4872943,祖·玛珑,JO MALONE LONDON,月色洋甘菊枕香喷雾,50ml,美妆护肤-香水香氛-家居香氛,268,315.0,315.0,268,,,9999,True,0,,,fragrance,268.0,315.0
694cc2aaf52aff000112412b,20111787,4872910,祖·玛珑,JO MALONE LONDON,薰衣草与月光花枕香喷雾,50ml,美妆护肤-香水香氛-家居香氛,268,315.0,315.0,268,,,9999,True,0,,,fragrance,268.0,315.0
694cc2ce56e4f1000101bc19,20112585,4873680,芭比波朗,BOBBI BROWN,纯色奢金缎光唇膏,04 绝色豆沙 CLARET/3.5g,美妆护肤-面部彩妆-口红,268,315.0,315.0,268,,,9999,True,0,,,pvg,268.0,315.0
694cc35ff52aff0001125d99,20115550,4876446,芭比波朗,BOBBI BROWN,洁面洗颜乳,125ml,美妆护肤-面部护肤-洁面,270,315.0,315.0,270,,,9999,True,0,,,pvg,270.0,315.0
694cc3b056e4f1000101e68c,20116965,4878037,雪花秀,Sulwhasoo,御时参养水,150ml,美妆护肤-面部护肤-爽肤水/化妆水,337,476.0,476.0,270,,,9999,True,0,,,pvg,270.0,476.0
694cc3a09cc20b00019c0c8b,20116902,4877769,卡诗,KERASTASE,山茶花经典香氛护发油,75ml,个护家清-美发护发-护发,285,497.0,497.0,270,,,9999,True,0,,,hair,270.0,497.0
694cc3a256e4f1000101e491,20116964,4877825,雪花秀,Sulwhasoo,御时参养乳,125ml,美妆护肤-面部护肤-乳液面霜,347,497.0,497.0,270,,,9999,True,0,,,pvg,270.0,497.0
694cc2bf5b103b0001aea56a,20112161,4873306,馥蕾诗,FRESH,大豆精粹温和卸妆洁面凝露,400ml,美妆护肤-面部护肤-洁面,290,540.0,540.0,270,,,9999,True,0,,,pvg,270.0,540.0
694cc4019cc20b00019c1a83,20118668,4879690,魅可,M.A.C,定制无瑕气垫霜（卷王气垫）,N11（中性暖一白）/12g,美妆护肤-面部彩妆-气垫,272,333.0,333.0,272,,,9999,True,0,,,pvg,272.0,333.0
