productId,sku,brandName,brandEnName,productName,price,originalPrice,discount,reducePrice,futurePrice,activityStock,stock,sellNum,limitNum,validStart,exchangePrice,hiddenPrice,specialSale,vipPrice,priceType
p15825637,C103664,紀梵希,Givenchy,GIVENCHY紀梵希高定香榭粉絲絨唇膏3.4g,179,360.0,5.0,181.0,,2,2,24,0,2026-07-31 00:00:00,166.81,,False,0.0,3
p15894574,E1678365,莫傑,MARC JACOBS,MARC JACOBS馬克雅克布太陽鏡20641308656HA,802,1620.0,5.0,818.0,,1,1,,0,2026-07-31 00:00:00,747.4,,False,0.0,3
p15952287,E10129083,雷朋,RAY-BAN,RAY BAN雷朋太陽鏡 0RB41716316E854,784,1560.0,5.0,776.0,,1,1,,0,2026-07-31 00:00:00,730.63,,False,0.0,3
p15941382,F119397,月兔牌,月兔牌,月兔牌-主婦手腳跟龜裂膏 50ml,39,78.0,5.0,39.0,,7,7,12,0,2026-07-31 00:00:00,36.35,,False,0.0,3
p15895008,E1678372,莫傑,MARC JACOBS,MARC JACOBS馬克雅克布太陽鏡2064372LF54HA,763,1530.0,5.0,767.0,,1,1,,0,2026-07-31 00:00:00,711.06,,False,0.0,3
p15894569,E1720733,莫傑,MARC JACOBS,MARC JACOBS馬克雅克布太陽鏡206441NOY55HA,669,1350.0,5.0,681.0,,1,1,,0,2026-07-31 00:00:00,623.46,,False,0.0,3
p15916060,698133322,JBL,JBL,JBL-Wind 3 可攜式收音機藍牙喇叭 (FM收音機/LED 顯示/免提通話/記憶卡輸入) 紅色【下單請勿選京東代收點，詳細查看購買須知】,299,599.0,5.0,300.0,,10,10,,0,2026-07-31 00:00:00,278.65,,False,0.0,3
p15916059,698133321,JBL,JBL,JBL-Wind 3 可攜式收音機藍牙喇叭 (FM收音機/LED 顯示/免提通話/記憶卡輸入) 藍色【下單請勿選京東代收點，詳細查看購買須知】,299,599.0,5.0,300.0,,10,10,,0,2026-07-31 00:00:00,278.65,,False,0.0,3
p15915671,698133320,JBL,JBL,JBL-Wind 3 可攜式收音機藍牙喇叭 (FM收音機/LED 顯示/免提通話/記憶卡輸入) 黑色【下單請勿選京東代收點，詳細查看購買須知】,299,599.0,5.0,300.0,,10,10,,0,2026-07-31 00:00:00,278.65,,False,0.0,3
p15895008,E1678372,莫傑,MARC JACOBS,MARC JACOBS馬克雅克布太陽鏡2064372LF54HA,763,1530.0,5.0,767.0,,1,1,,0,2026-07-31 00:00:00,711.06,,False,0.0,3
p15894595,E1614797,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡20633280755M9,343,690.0,5.0,347.0,,1,1,1,0,2026-07-31 00:00:00,319.65,,False,0.0,3
p15894569,E1720733,莫傑,MARC JACOBS,MARC JACOBS馬克雅克布太陽鏡206441NOY55HA,669,1350.0,5.0,681.0,,1,1,,0,2026-07-31 00:00:00,623.46,,False,0.0,3
p16069850,C125071,巴黎歐萊雅,L'OREAL PARIS,L`oreal巴黎歐萊雅金致臻顏麥盧卡蜜潤系列2026煥新版化妝包,528,1055.0,5.0,527.0,,4,4,2,0,2026-07-31 00:00:00,492.06,,False,0.0,3
p15875681,IN100496,自然堂,CHANDO,CHANDO自然堂雪肌追光煥白緊致乳液110ml*2支裝,362,704.0,5.1,342.0,,2,2,,0,2026-07-31 00:00:00,337.36,,False,0.0,3
p15942690,C122163,儀式,RITUALS,RITUALS櫻花儀式小號禮盒,151,295.0,5.1,144.0,,25,25,48,0,2026-07-31 00:00:00,140.72,,False,0.0,3
p15845265,C111124,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓香氛+綠茶柚子小蒼蘭身體霜,195,380.0,5.1,185.0,,1,1,4,0,2026-07-31 00:00:00,181.73,,False,0.0,3
p15894575,E1678393,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡20677980756WJ,496,980.0,5.1,484.0,,1,1,,0,2026-07-31 00:00:00,462.24,,False,0.0,3
p15740572,C043364,祖瑪瓏,JO MALONE LONDON,JO MALONE祖·瑪瓏香水(青檸羅勒與柑橘香型)100ml【有效期至：2027年5月】,665,1315.0,5.1,650.0,,9,9,21,30,2026-07-31 00:00:00,619.73,,False,0.0,3
p15871721,C114902,伊麗莎白·雅頓,ELIZABETH ARDEN,ELIZABETH ARDEN伊麗莎白·雅頓綠茶椰子淡香水50ML,133,260.0,5.1,127.0,,1,1,1,0,2026-07-31 00:00:00,123.95,,False,0.0,3
p15894583,E1678404,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡20677908656M9,496,980.0,5.1,484.0,,1,1,,0,2026-07-31 00:00:00,462.24,,False,0.0,3
p15943005,C122165,儀式,RITUALS,RITUALS梵心儀式小號禮盒,151,295.0,5.1,144.0,,18,18,31,0,2026-07-31 00:00:00,140.72,,False,0.0,3
p15737095,C100701,湯姆福特,TOM FORD,TOM FORD湯姆福特柔霧緞采唇膏52 3g【細黑管】【有效期至：2027年5月】,249,490.0,5.1,241.0,,25,25,36,0,2026-07-31 00:00:00,232.05,,False,0.0,3
p15894588,E1614789,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡20636580753M9,496,980.0,5.1,484.0,,1,1,,0,2026-07-31 00:00:00,462.24,,False,0.0,3
p15822813,C105973,黛珂,DECORTE,DECORTE 黛珂牛油果植萃乳液--300毫升-2支裝-,488,954.0,5.1,466.0,,1,1,86,0,2026-07-31 00:00:00,454.78,,False,0.0,3
p15809822,C105976,黛珂,DECORTE,DECORTE黛珂牛油果植萃乳液 150ml（版）,162,315.0,5.1,153.0,,6,6,47,0,2026-07-31 00:00:00,150.97,,False,0.0,3
p15822814,C105982,黛珂,DECORTE,DECORTE 黛珂牛油果植萃乳液-300ML,272,530.0,5.1,258.0,,7,7,58,0,2026-07-31 00:00:00,253.48,,False,0.0,3
p15894588,E1614789,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡20636580753M9,496,980.0,5.1,484.0,,1,1,,0,2026-07-31 00:00:00,462.24,,False,0.0,3
p15801720,C102713,悦木之源,ORIGINS,ORIGINS悅木之源韋博士菇菌亮膚精華乳 50ml【有效期至：2027年4月】,335,660.0,5.1,325.0,,4,4,11,0,2026-07-31 00:00:00,312.2,,False,0.0,3
p15792881,C102043,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓綠茶荔枝香水 100ml,186,362.0,5.1,176.0,,4,4,3,0,2026-07-31 00:00:00,173.34,,False,0.0,3
p15871721,C114902,伊麗莎白·雅頓,ELIZABETH ARDEN,ELIZABETH ARDEN伊麗莎白·雅頓綠茶椰子淡香水50ML,133,260.0,5.1,127.0,,1,1,1,0,2026-07-31 00:00:00,123.95,,False,0.0,3
p15875682,IN100330,自然堂,CHANDO,CHANDO自然堂雪肌追光煥白緊致面霜55g,204,390.0,5.2,186.0,,1,1,1,0,2026-07-31 00:00:00,190.11,,False,0.0,3
p15736643,C100188,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓時空煥活塑顏緊致面霜 50ml,349,669.0,5.2,320.0,,3,3,9,5,2026-07-31 00:00:00,325.24,,False,0.0,3
p15875688,IN100353,自然堂,CHANDO,CHANDO自然堂男士黑松露臻鑽修護三件套,307,596.0,5.2,289.0,,2,2,2,0,2026-07-31 00:00:00,286.1,,False,0.0,3
p15887948,C116162,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊莉莎白雅頓香氛套裝(10ml + 15ml + 15ml),186,355.0,5.2,169.0,,1,1,1,0,2026-07-31 00:00:00,173.34,,False,0.0,3
p15800845,C003031,倩碧,CLINIQUE,CLINIQUE倩碧香氛 50ml,141,270.0,5.2,129.0,,1,1,9,0,2026-07-31 00:00:00,131.4,,False,0.0,3
p15743284,C015057,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓逆時橘燦精純眼霜15ml,458,877.0,5.2,419.0,,4,4,10,0,2026-07-31 00:00:00,426.82,,False,0.0,3
p15875686,IN100462,自然堂,CHANDO,CHANDO自然堂男士喜馬拉雅冰川保濕二件套(70ml+潔面120g),85,162.0,5.2,77.0,,1,1,5,0,2026-07-31 00:00:00,79.21,,False,0.0,3
p15875672,IN100242,薇诺娜,薇诺娜,薇諾娜 120ml舒敏保濕潤膚水,106,204.0,5.2,98.0,,1,1,29,0,2026-07-31 00:00:00,98.78,,False,0.0,3
p15876076,IN100250,薇诺娜,薇诺娜,薇諾娜 120ml極潤保濕柔膚水,101,193.0,5.2,92.0,,3,3,23,0,2026-07-31 00:00:00,94.12,,False,0.0,3
p15737157,C040286,芭比布朗,BOBBI BROWN,BOBBI BROWN芭比波朗至盈呵護亮顏美肌乳(素顏霜)璨香檳30ml,382,740.0,5.2,358.0,,5,5,5,0,2026-07-31 00:00:00,356.0,,False,0.0,3
p15874793,C115005,雅漾,AVENE,AVENE雅漾塑顏緊致凝露50ML,220,420.0,5.2,200.0,,1,1,15,0,2026-07-31 00:00:00,205.02,,False,0.0,3
p15740712,C045784,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓白茶淡香水（野玫瑰香型）100ml,220,426.0,5.2,206.0,,1,1,7,0,2026-07-31 00:00:00,205.02,,False,0.0,3
p15876086,IN100351,自然堂,CHANDO,CHANDO自然堂舒緩潤養卸妝膏100ml*2支裝,179,346.0,5.2,167.0,,1,1,4,0,2026-07-31 00:00:00,166.81,,False,0.0,3
p15825241,C103646,紀梵希,Givenchy,GIVENCHY紀梵希高定甜潤唇膏2.8g,171,330.0,5.2,159.0,,8,8,20,0,2026-07-31 00:00:00,159.36,,False,0.0,3
p15899058,F119374,名古屋,名古屋,名古屋噴鼻之水 30ml,47,90.0,5.2,43.0,,6,6,15,0,2026-07-31 00:00:00,43.8,,False,0.0,3
p15828390,C107072,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓綠茶柚子小蒼蘭香水50ml,135,260.0,5.2,125.0,,1,1,3,0,2026-07-31 00:00:00,125.81,,False,0.0,3
