product_id,activity_product_id,brand_id,brand,brand_en,name,category,subcategory,price,original_price,discount,stock,activity_stock,sell_num,activity_id,activity_type,catalog_id,sku
p15736615,504207864.0,10120,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓紅門淡香氛,3037,2352,231,512.0,4.5,1,1,4,500022953.0,3,c85548372,C000970
p15886984,504207787.0,10123,雅詩蘭黛,ESTEE LAUDER,Estee Lauder雅詩蘭黛絕色由我絨霧唇膏185,3016,2195,180,275.0,6.5,1,1,2,500022953.0,3,c85729401,C116223
p15738788,504213187.0,31887,CLINIQUE,CLINIQUE (Beauty),CLINIQUE倩碧男士平衡滋養霜 50ML,3022,1093,207,380.0,5.4,2,2,11,500023044.0,1,c85551231,C046923
p15890118,504207788.0,31887,倩碧,CLINIQUE,CLINIQUE倩碧水嫩煥膚精華50ml,3022,1096,368,525.0,7.0,1,1,5,500022953.0,3,c85731777,C116203
p15737412,504207907.0,31845,聖羅蘭,YSL,YSL聖羅蘭自由之水濃香水 30ML,3037,2352,535,900.0,5.9,3,3,21,500022953.0,3,c85549775,C049145
p15884179,504207792.0,31845,聖羅蘭,YSL,YSL 聖羅蘭自由至上女士香水-淡香版 50ML,3037,2352,690,1150.0,6.0,1,1,7,500022953.0,3,c85725063,C118030
p15896322,504207793.0,31845,聖羅蘭,YSL,YSL聖羅蘭敢愛光耀豐盈唇蜜-1 6ml,3016,2197,247,380.0,6.5,4,4,4,500022953.0,3,c85739299,C118884
p15833287,,31845,聖羅蘭,YSL,YSL 聖羅蘭純口紅,3016,2195,380,,,1,0,23,,0,c85660236,C109582
p15942682,504207800.0,13558,植村秀,SHU UEMURA,SHU UEMURA植村秀絹感潤護裸感唇膏 RD168,3016,2195,189,315.0,6.0,1,1,1,500022953.0,3,c85786867,C121486
p15737019,504207804.0,10085,芭比布朗,BOBBI BROWN,BOBBI BROWN芭比波朗炙戀唇膏4號,3016,2195,141,270.0,5.2,1,1,1,500022953.0,3,c85549195,C039029
p15736240,504207805.0,10085,芭比波朗,BOBBI BROWN,BOBBI BROWN芭比波朗繽紛唇頰霜#6嫩玫紅0.13 oz/ 3.8 ml,3021,2213,169,310.0,5.5,1,1,8,500022953.0,3,c85548339,C023847
p15741372,504207806.0,10085,芭比布朗,BOBBI BROWN,BOBBI BROWN芭比波朗炙戀精油唇蜜#7自然美力6 ml,3016,2197,134,245.0,5.5,1,1,11,500022953.0,3,c85555165,C049499
p15830825,504207809.0,10085,芭比布朗,BOBBI BROWN,BOBBI BROWN芭比波朗五色眼影盤,3038,2217,266,490.0,5.4,1,1,13,500022953.0,3,c85656154,C108799
p15881889,504207814.0,10197,悦木之源,ORIGINS,Origins 悅木之源蘋果肌青春肌底液100ml,3022,1096,199,320.0,6.2,1,1,4,500022953.0,3,c85722724,C115041
p15891799,504207816.0,13651,黛珂,DECORTE,DECORTE 黛珂-AQ-舒活耀白麵霜50ml,3022,1093,1133,2060.0,5.5,1,1,2,500022953.0,3,c85734686,C114152
p15737467,504213211.0,14721,祖瑪瓏,JO MALONE LONDON,JO MALONE祖·瑪瓏香氛蠟燭（藍風鈴香型）,3037,1525,333,555.0,6.0,1,1,16,500023044.0,1,c85549841,C044609
p15875892,504207819.0,14721,祖瑪瓏,JO MALONE LONDON,JO MALONE LONDON祖瑪瓏檜木與雪松芳醇古龍水50ml,3037,3204,650,1165.0,5.6,1,1,7,500022953.0,3,c85715537,C115260
p15737170,504207821.0,14721,祖瑪瓏,JO MALONE LONDON,JO MALONE祖·瑪瓏香水（虞美人與大麥香型)30ML,3037,3204,348,640.0,5.4,1,1,5,500022953.0,3,c85549364,C047907
p15806092,504207827.0,10174,魅可,MAC,MAC魅可絲緞絨霧細管唇膏25 2g,3016,2195,128,235.0,5.4,1,1,3,500022953.0,3,c85626431,C103065
p15896487,504207828.0,10174,魅可,MAC,MAC魅可豐盈唇蜜5ml,3016,2197,134,205.0,6.5,1,1,2,500022953.0,3,c85739670,C117742
p15885157,504207829.0,10174,魅可,MAC,MAC魅可輕羽纖密睫毛膏12ml,3038,2203,172,315.0,5.5,1,1,1,500022953.0,3,c85726118,C116266
p15896536,504207830.0,10174,魅可,MAC,MAC魅可空氣唇蜜225 5ml,3016,2197,124,190.0,6.5,1,1,1,500022953.0,3,c85739669,C117728
p15871545,504207757.0,10174,魅可,MAC,MAC魅可定制鎏金遮瑕11ml,3021,2220,168,280.0,6.0,2,2,16,500022953.0,3,c85708772,C115233
